Test log file
2025-08-28 13:22:58,117 - INFO - Initialization successful.
2025-08-28 13:22:58,117 - INFO - Camera now open.
2025-08-28 13:22:58,120 - INFO - Camera configuration has been adjusted!
2025-08-28 13:22:58,121 - INFO - Configuration successful!
2025-08-28 13:22:59,641 - INFO - Camera started
2025-08-28 13:23:02,980 - INFO - ['359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '20', '94', '48228', '33', '6412', '-6779', '0', '3', '0', '0', '']
2025-08-28 13:23:03,039 - INFO - ['359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '20', '94', '48228', '33', '6412', '-6852', '0', '3', '0', '0', '']
2025-08-28 13:23:03,096 - INFO - ['359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '19', '94', '48228', '34', '6412', '-6922', '0', '3', '0', '0', '']
2025-08-28 13:23:03,155 - INFO - ['359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '19', '94', '48228', '34', '6412', '-6991', '0', '3', '0', '0', '']
2025-08-28 13:23:03,215 - INFO - ['359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '19', '94', '48228', '34', '6412', '-7060', '0', '3', '0', '0', '']
2025-08-28 13:23:03,273 - INFO - ['359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '19', '94', '48228', '34', '6412', '-7127', '0', '3', '0', '0', '']
2025-08-28 13:23:03,333 - INFO - ['359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '19', '93', '48228', '34', '6412', '-7195', '0', '3', '0', '0', '']
2025-08-28 13:23:03,394 - INFO - ['359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '19', '94', '48228', '39', '6412', '-7263', '0', '3', '0', '0', '']
2025-08-28 13:23:03,449 - INFO - ['359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '19', '94', '48228', '40', '6412', '-7334', '0', '3', '0', '0', '']
2025-08-28 13:23:03,509 - INFO - ['359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '19', '93', '48228', '40', '6412', '-7407', '0', '3', '0', '0', '']
2025-08-28 13:23:03,566 - INFO - ['359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '19', '94', '48228', '41', '6412', '-7480', '0', '3', '0', '0', '']
2025-08-28 13:23:03,623 - INFO - ['359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '19', '94', '48228', '33', '6412', '-7549', '0', '3', '0', '0', '']
2025-08-28 13:23:03,680 - INFO - ['359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '359.81', '-1.19', '-2.56', '19', '93', '48228', '33', '328', '-7618', '0', '3', '0', '0', '']
2025-08-28 13:23:03,702 - INFO - Camera stopped
2025-08-28 13:23:05,516 - INFO - Camera closed successfully.
