2025-08-28 15:39:54,835 - INFO - Camera configuration has been adjusted!
2025-08-28 15:39:54,837 - INFO - Configuration successful!
2025-08-28 15:39:56,357 - INFO - Camera started
2025-08-28 15:40:01,229 - INFO - ['13.06', '-3.81', '-2.44', '13.06', '-3.81', '-2.44', '13.06', '-3.81', '-2.44', '111', '51', '48228', '37', '6412', '-970', '0', '3', '0', '0', '']
2025-08-28 15:40:01,287 - INFO - ['12.75', '-3.75', '-2.50', '12.75', '-3.75', '-2.50', '12.75', '-3.75', '-2.50', '104', '52', '48228', '37', '6412', '-971', '0', '3', '0', '0', '']
2025-08-28 15:40:01,346 - INFO - ['12.50', '-3.75', '-2.56', '12.50', '-3.75', '-2.56', '12.50', '-3.75', '-2.56', '102', '52', '48228', '37', '6412', '-971', '0', '3', '0', '0', '']
2025-08-28 15:40:01,449 - INFO - ['11.94', '-3.63', '-2.63', '11.94', '-3.63', '-2.63', '11.94', '-3.63', '-2.63', '97', '52', '48228', '37', '6412', '-972', '0', '3', '0', '0', '']
2025-08-28 15:40:01,507 - INFO - ['11.75', '-3.63', '-2.63', '11.75', '-3.63', '-2.63', '11.75', '-3.63', '-2.63', '96', '52', '48228', '37', '6412', '-972', '0', '3', '0', '0', '']
2025-08-28 15:40:01,615 - INFO - ['11.13', '-3.56', '-2.63', '11.13', '-3.56', '-2.63', '11.13', '-3.56', '-2.63', '88', '53', '48228', '36', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:01,721 - INFO - ['10.75', '-3.50', '-2.50', '10.75', '-3.50', '-2.50', '10.75', '-3.50', '-2.50', '88', '54', '48228', '36', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:01,778 - INFO - ['10.63', '-3.44', '-2.50', '10.63', '-3.44', '-2.50', '10.63', '-3.44', '-2.50', '85', '54', '48228', '36', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:01,836 - INFO - ['10.56', '-3.44', '-2.50', '10.56', '-3.44', '-2.50', '10.56', '-3.44', '-2.50', '86', '54', '48228', '36', '6412', '-973', '0', '3', '0', '0', '']
2025-08-28 15:40:01,941 - INFO - ['10.31', '-3.50', '-2.56', '10.31', '-3.50', '-2.56', '10.31', '-3.50', '-2.56', '85', '54', '48228', '35', '6412', '-973', '0', '3', '0', '0', '']
