2025-08-28 15:37:55,291 - INFO - Camera configuration has been adjusted!
2025-08-28 15:37:55,292 - INFO - Configuration successful!
2025-08-28 15:37:56,814 - INFO - Camera started
2025-08-28 15:38:00,861 - INFO - ['16.94', '-3.88', '-2.31', '16.94', '-3.88', '-2.31', '16.94', '-3.88', '-2.31', '22', '106', '48228', '39', '328', '96', '0', '3', '0', '0', '']
2025-08-28 15:38:00,965 - INFO - ['16.56', '-3.81', '-2.31', '16.56', '-3.81', '-2.31', '16.56', '-3.81', '-2.31', '23', '105', '48228', '39', '328', '81', '0', '3', '0', '0', '']
2025-08-28 15:38:01,022 - INFO - ['16.38', '-3.81', '-2.38', '16.38', '-3.81', '-2.38', '16.38', '-3.81', '-2.38', '23', '116', '48228', '39', '328', '73', '0', '3', '0', '0', '']
2025-08-28 15:38:01,127 - INFO - ['16.06', '-3.81', '-2.38', '16.06', '-3.81', '-2.38', '16.06', '-3.81', '-2.38', '21', '108', '48228', '38', '328', '58', '0', '3', '0', '0', '']
2025-08-28 15:38:01,234 - INFO - ['15.63', '-3.75', '-2.38', '15.63', '-3.75', '-2.38', '15.63', '-3.75', '-2.38', '22', '102', '48228', '39', '328', '44', '0', '3', '0', '0', '']
2025-08-28 15:38:01,339 - INFO - ['15.31', '-3.75', '-2.38', '15.31', '-3.75', '-2.38', '15.31', '-3.75', '-2.38', '21', '100', '48228', '37', '328', '29', '0', '3', '0', '0', '']
2025-08-28 15:38:01,445 - INFO - ['15.06', '-3.75', '-2.38', '15.06', '-3.75', '-2.38', '15.06', '-3.75', '-2.38', '21', '77', '48228', '36', '328', '13', '0', '3', '0', '0', '']
2025-08-28 15:38:01,552 - INFO - ['14.75', '-3.75', '-2.38', '14.75', '-3.75', '-2.38', '14.75', '-3.75', '-2.38', '20', '76', '48228', '36', '328', '0', '0', '3', '0', '0', '']
2025-08-28 15:38:01,657 - INFO - ['14.50', '-3.75', '-2.44', '14.50', '-3.75', '-2.44', '14.50', '-3.75', '-2.44', '19', '74', '48228', '36', '328', '-10', '0', '3', '0', '0', '']
2025-08-28 15:38:01,761 - INFO - ['14.50', '-3.69', '-2.50', '14.50', '-3.69', '-2.50', '14.50', '-3.69', '-2.50', '19', '76', '48228', '36', '328', '-12', '0', '3', '0', '0', '']
2025-08-28 15:38:01,865 - INFO - ['14.44', '-3.63', '-2.50', '14.44', '-3.63', '-2.50', '14.44', '-3.63', '-2.50', '20', '69', '48228', '36', '328', '-12', '0', '3', '0', '0', '']
2025-08-28 15:38:01,926 - INFO - ['14.44', '-3.63', '-2.50', '14.44', '-3.63', '-2.50', '14.44', '-3.63', '-2.50', '20', '65', '48228', '36', '328', '-12', '0', '3', '0', '0', '']
2025-08-28 15:38:01,981 - INFO - ['14.44', '-3.63', '-2.50', '14.44', '-3.63', '-2.50', '14.44', '-3.63', '-2.50', '19', '79', '48228', '36', '328', '-12', '0', '3', '0', '0', '']
2025-08-28 15:38:02,088 - INFO - ['14.44', '-3.69', '-2.44', '14.44', '-3.69', '-2.44', '14.44', '-3.69', '-2.44', '19', '71', '48228', '36', '328', '-12', '0', '3', '0', '0', '']
2025-08-28 15:38:02,192 - INFO - ['14.25', '-3.69', '-2.50', '14.25', '-3.69', '-2.50', '14.25', '-3.69', '-2.50', '19', '81', '48228', '36', '328', '-21', '0', '3', '0', '0', '']
2025-08-28 15:38:02,252 - INFO - ['14.06', '-3.81', '-2.50', '14.06', '-3.81', '-2.50', '14.06', '-3.81', '-2.50', '19', '71', '48228', '35', '328', '-29', '0', '3', '0', '0', '']
2025-08-28 15:38:02,357 - INFO - ['13.69', '-3.81', '-2.56', '13.69', '-3.81', '-2.56', '13.69', '-3.81', '-2.56', '17', '67', '48228', '35', '328', '-48', '0', '3', '0', '0', '']
2025-08-28 15:38:02,464 - INFO - ['13.31', '-3.81', '-2.56', '13.31', '-3.81', '-2.56', '13.31', '-3.81', '-2.56', '23', '54', '48228', '35', '328', '-66', '0', '3', '0', '0', '']
2025-08-28 15:38:02,569 - INFO - ['12.88', '-3.81', '-2.56', '12.88', '-3.81', '-2.56', '12.88', '-3.81', '-2.56', '30', '32', '48228', '35', '328', '-84', '0', '3', '0', '0', '']
2025-08-28 15:38:02,674 - INFO - ['12.50', '-3.81', '-2.50', '12.50', '-3.81', '-2.50', '12.50', '-3.81', '-2.50', '52', '31', '48228', '35', '328', '-100', '0', '3', '0', '0', '']
2025-08-28 15:38:02,730 - INFO - ['12.31', '-3.81', '-2.50', '12.31', '-3.81', '-2.50', '12.31', '-3.81', '-2.50', '63', '41', '48228', '35', '328', '-108', '0', '3', '0', '0', '']
2025-08-28 15:38:02,787 - INFO - ['12.13', '-3.81', '-2.50', '12.13', '-3.81', '-2.50', '12.13', '-3.81', '-2.50', '76', '106', '48228', '35', '328', '-116', '0', '3', '0', '0', '']
2025-08-28 15:38:02,844 - INFO - ['12.00', '-3.81', '-2.50', '12.00', '-3.81', '-2.50', '12.00', '-3.81', '-2.50', '87', '126', '48228', '34', '328', '-122', '0', '3', '0', '0', '']
2025-08-28 15:38:02,905 - INFO - ['11.81', '-3.81', '-2.50', '11.81', '-3.81', '-2.50', '11.81', '-3.81', '-2.50', '99', '123', '48228', '34', '328', '-131', '0', '3', '0', '0', '']
2025-08-28 15:38:02,964 - INFO - ['11.63', '-3.88', '-2.50', '11.63', '-3.88', '-2.50', '11.63', '-3.88', '-2.50', '110', '116', '48228', '34', '328', '-139', '0', '3', '0', '0', '']
2025-08-28 15:38:03,021 - INFO - ['11.50', '-3.81', '-2.50', '11.50', '-3.81', '-2.50', '11.50', '-3.81', '-2.50', '117', '123', '48228', '34', '328', '-146', '0', '3', '0', '0', '']
2025-08-28 15:38:03,126 - INFO - ['11.25', '-3.81', '-2.56', '11.25', '-3.81', '-2.56', '11.25', '-3.81', '-2.56', '125', '119', '48228', '34', '328', '-154', '0', '3', '0', '0', '']
2025-08-28 15:38:03,232 - INFO - ['11.19', '-3.69', '-2.56', '11.19', '-3.69', '-2.56', '11.19', '-3.69', '-2.56', '126', '118', '48228', '34', '328', '-155', '0', '3', '0', '0', '']
2025-08-28 15:38:03,340 - INFO - ['11.19', '-3.69', '-2.56', '11.19', '-3.69', '-2.56', '11.19', '-3.69', '-2.56', '126', '116', '48228', '33', '328', '-155', '0', '3', '0', '0', '']
2025-08-28 15:38:03,396 - INFO - ['11.25', '-3.69', '-2.56', '11.25', '-3.69', '-2.56', '11.25', '-3.69', '-2.56', '123', '117', '48228', '34', '328', '-155', '0', '3', '0', '0', '']
2025-08-28 15:38:03,454 - INFO - ['11.31', '-3.69', '-2.56', '11.31', '-3.69', '-2.56', '11.31', '-3.69', '-2.56', '121', '117', '48228', '33', '328', '-155', '0', '3', '0', '0', '']
2025-08-28 15:38:03,513 - INFO - ['11.38', '-3.69', '-2.56', '11.38', '-3.69', '-2.56', '11.38', '-3.69', '-2.56', '119', '122', '48228', '35', '328', '-153', '0', '3', '0', '0', '']
2025-08-28 15:38:03,616 - INFO - ['11.38', '-3.69', '-2.56', '11.38', '-3.69', '-2.56', '11.38', '-3.69', '-2.56', '120', '119', '48228', '34', '328', '-153', '0', '3', '0', '0', '']
2025-08-28 15:38:03,673 - INFO - ['11.31', '-3.69', '-2.56', '11.31', '-3.69', '-2.56', '11.31', '-3.69', '-2.56', '124', '114', '48228', '34', '328', '-153', '0', '3', '0', '0', '']
